month,ADM3_EN,LST_day_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len
2024-01,Arada,27.2792979207284,0.0006721098351234789,0.000666870828109713,0.000660788034600921,275.1408265855577,131295.751953125,154371.31172405052,6.0,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676
2024-01,Bole,27.940687613340444,0.0048041211350526945,0.004749015559944337,0.004746888368837595,2386.281502221249,598950.299621582,1126020.3433838214,24.0,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997
2024-01,Gulele,22.58454566353891,0.0020563529078703453,0.0020412211194921386,0.0020621153492984675,391.8782062573565,195311.67322921753,343757.35125622124,2.0,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.3826680482
2024-01,Kirkos,27.67673654753368,0.0014597687243357925,0.0014579215135687347,0.0014465319540152388,1077.152331776089,243732.50048828125,407445.71887208143,27.0,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186
2024-01,Kolfe Keraniyo,26.953265626918338,0.004197447636741271,0.004188170759052563,0.0041885595675185214,1394.1614609859607,608663.75390625,999778.8262524343,10.0,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.20826516709,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086
2024-01,Lemi Kura,27.416968804400586,0.004568396401709072,0.004565797644724008,0.004585862411614288,1295.952819754128,491759.59742736816,1077463.223131778,4.0,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532
2024-01,Lideta,27.871155198264557,0.0009372492699937521,0.0009348390701018635,0.0009304745016571066,579.9442396375869,150432.6337890625,238256.11138927197,21.0,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013433,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287
2024-01,Nifas Silk Lafto,27.835116577606975,0.0035902303197166163,0.003575406672713009,0.003591712078310103,1341.1150778077267,560603.6497802734,1020947.5290218766,8.0,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432797,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727
2024-01,Yeka,24.64742947134093,0.0037185675393379128,0.0037015432685334583,0.0037101295426038936,832.8533762856766,420225.3050689697,629507.8244182687,8.0,6820.175402169005,22872.035526742056,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746
2024-02,Addis Ketema,24.36033819785739,0.0014430688935308435,0.0014421293757624055,0.0014392502484655602,404.8774017545912,286949.806640625,413244.76971781626,6.0,215850.97020583044,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
